model,dim_code,dim_name,emergent,mean_correct,sem_correct,mean_incorrect,sem_incorrect,delta_inc_minus_corr,mannwhitney_p,n_correct,n_incorrect
Human,VL,Visual Localization and Grounding,yes,2.248,0.025,2.422,0.050,+0.174,0.003502,646,154
Human,AS,Attention and Scan,no,2.621,0.022,2.747,0.037,+0.126,0.0145,646,154
Human,MCr,Identifying Relevant Information,no,1.601,0.027,1.825,0.056,+0.224,0.0003698,646,154
Human,MCu,Calibrating Knowns and Unknowns,no,0.655,0.026,0.734,0.050,+0.079,0.09558,646,154
Human,MA,Multi-Element Visual Aggregation,yes,2.348,0.055,2.610,0.102,+0.262,0.04717,646,154
Human,VO,Volume,no,1.158,0.014,1.221,0.034,+0.063,0.06213,646,154
Human,AT,Atypicality,no,2.548,0.021,2.636,0.041,+0.088,0.08133,646,154
Human,GS,Gestalt and Shape Judgment,yes,0.811,0.046,0.805,0.098,-0.006,0.8153,646,154
Human,QLl,Logical Reasoning,no,0.980,0.024,1.104,0.052,+0.124,0.02801,646,154
Human,KNf,Formal Sciences,no,1.175,0.035,1.136,0.077,-0.039,0.5309,646,154
Human,QLq,Quantitative Reasoning,no,1.251,0.022,1.279,0.046,+0.028,0.7431,646,154
Human,CL,"Conceptualisation, Learning, and Abstraction",no,0.195,0.017,0.208,0.043,+0.013,0.5913,646,154
Claude-3-5-Sonnet,VL,Visual Localization and Grounding,yes,2.207,0.029,2.397,0.036,+0.190,2.09e-05,488,312
Claude-3-5-Sonnet,AS,Attention and Scan,no,2.561,0.025,2.776,0.027,+0.214,8.293e-08,488,312
Claude-3-5-Sonnet,MCr,Identifying Relevant Information,no,1.551,0.031,1.788,0.037,+0.237,2.167e-06,488,312
Claude-3-5-Sonnet,MCu,Calibrating Knowns and Unknowns,no,0.578,0.028,0.814,0.038,+0.236,3.721e-07,488,312
Claude-3-5-Sonnet,MA,Multi-Element Visual Aggregation,yes,2.248,0.062,2.635,0.077,+0.387,8.871e-05,488,312
Claude-3-5-Sonnet,VO,Volume,no,1.135,0.015,1.224,0.024,+0.089,0.001074,488,312
Claude-3-5-Sonnet,AT,Atypicality,no,2.525,0.024,2.628,0.028,+0.104,0.005847,488,312
Claude-3-5-Sonnet,GS,Gestalt and Shape Judgment,yes,0.824,0.053,0.788,0.067,-0.035,0.4896,488,312
Claude-3-5-Sonnet,QLl,Logical Reasoning,no,0.959,0.027,1.074,0.037,+0.115,0.02115,488,312
