model,auc_mean,auc_std,bal_acc_mean,bal_acc_std,brier_mean,brier_std,base_rate,n_rows,n_folds
COMBINATION_ALL,0.5728,0.0130,0.5199,0.0107,0.2070,0.0023,0.7156,31177,15
Human,0.5949,0.0488,0.5000,0.0000,0.1536,0.0058,0.1925,800,15
Claude-3-5-Sonnet,0.6231,0.0482,0.5665,0.0295,0.2293,0.0104,0.3900,800,15
GPT-4o,0.6575,0.0328,0.6266,0.0173,0.2330,0.0087,0.5138,800,15
Gemini-1-5-Pro,0.6269,0.0370,0.5999,0.0389,0.2360,0.0096,0.5600,800,15
InternVL2-Pro,0.6120,0.0334,0.5608,0.0327,0.2352,0.0081,0.5875,800,15
InternVL2-76B,0.6140,0.0360,0.5693,0.0311,0.2320,0.0074,0.5975,800,15
GPT-4V-Turbo,0.6099,0.0310,0.5519,0.0308,0.2278,0.0068,0.6262,800,15
InternVL2-26B,0.6126,0.0483,0.5482,0.0258,0.2193,0.0100,0.6562,800,15
GPT-4o-mini,0.5807,0.0392,0.5460,0.0183,0.2222,0.0072,0.6575,800,15
Claude-3-Sonnet,0.5878,0.0420,0.5448,0.0305,0.2204,0.0079,0.6625,800,15
Claude-3-Haiku,0.6095,0.0402,0.5335,0.0234,0.2120,0.0075,0.6775,797,15
Claude-3-Opus,0.6111,0.0398,0.5148,0.0197,0.2098,0.0066,0.6859,799,15
Phi-3-Vision,0.5922,0.0421,0.5255,0.0149,0.2120,0.0064,0.6863,800,15
InternVL-Chat-V1-5,0.6049,0.0334,0.4934,0.0112,0.2054,0.0054,0.7034,799,15
Reka-Core,0.5918,0.0465,0.5023,0.0104,0.2054,0.0068,0.7068,798,15
Ovis1.5-Llama3-8B,0.6236,0.0391,0.5111,0.0150,0.1993,0.0063,0.7075,800,15
Ovis1.5-Gemma2-9B,0.6043,0.0262,0.4892,0.0098,0.1976,0.0044,0.7238,800,15
Cambrian-34B,0.6008,0.0418,0.5236,0.0149,0.1891,0.0065,0.7375,800,15
Reka-Flash,0.5911,0.0387,0.4988,0.0038,0.1914,0.0059,0.7381,798,15
Qwen-VL-Max,0.6277,0.0525,0.5190,0.0141,0.1842,0.0081,0.7438,800,15
InternLM-XComposer2-4KHD,0.5732,0.0464,0.5168,0.0176,0.1877,0.0071,0.7462,800,15
MiniCPM-V2-5,0.6451,0.0406,0.5123,0.0119,0.1823,0.0070,0.7462,800,15
Mini-Gemini-HD-Yi-34B,0.6341,0.0397,0.5040,0.0114,0.1810,0.0061,0.7522,799,15
VILA-1-5-40B,0.6037,0.0503,0.5065,0.0070,0.1776,0.0071,0.7612,800,15
Reka-Edge,0.6035,0.0573,0.4992,0.0016,0.1771,0.0067,0.7638,800,15
Gemini-1.0-Pro-Vision,0.5421,0.0463,0.5074,0.0083,0.1786,0.0060,0.7685,799,15
LLaVA-1-6-Yi-34B,0.6199,0.0521,0.5229,0.0202,0.1622,0.0076,0.7870,798,15
MoAI,0.5654,0.0344,0.4992,0.0015,0.1547,0.0033,0.8087,800,15
IDEFICS-2,0.5612,0.0443,0.4992,0.0015,0.1540,0.0037,0.8100,800,15
InternLM-XComposer2,0.5447,0.0506,0.5009,0.0051,0.1531,0.0047,0.8135,799,15
Mini-Gemini-HD-LLaMA3-8B,0.6439,0.0642,0.5065,0.0120,0.1450,0.0073,0.8135,799,15
MiniCPM-V2,0.5598,0.0587,0.5018,0.0063,0.1493,0.0053,0.8185,799,15
DeepSeek-VL,0.5369,0.0592,0.5007,0.0037,0.1468,0.0056,0.8248,799,15
IDEFICS-2-Chatty,0.5166,0.0438,0.5000,0.0000,0.1476,0.0038,0.8256,797,15
SPHINX-V2-13B,0.5783,0.0498,0.5000,0.0000,0.1361,0.0051,0.8387,800,15
Qwen-VL-Plus,0.5720,0.0514,0.5000,0.0000,0.1341,0.0035,0.8423,799,15
LLaVA-1-6-Mistral-7B,0.5572,0.0557,0.5000,0.0000,0.1180,0.0043,0.8647,798,15
ChartGemma,0.5363,0.0295,0.5000,0.0000,0.1148,0.0028,0.8700,800,15
GPT-4o-Random,0.6023,0.0519,0.5000,0.0000,0.0912,0.0019,0.8988,800,15
