model,logistic_auc_mean,logistic_auc_std,rf_auc_mean,coef_vs_rfperm_spearman,logistic_top_dim
Human,0.5422,0.0324,0.5949,0.2378,MCr
Claude-3-5-Sonnet,0.6275,0.0486,0.6231,0.8252,QLq
GPT-4o,0.6759,0.0272,0.6575,0.6014,MCu
Gemini-1-5-Pro,0.6173,0.0356,0.6269,0.6224,MCu
InternVL2-Pro,0.6504,0.0396,0.6120,0.6993,MCu
InternVL2-76B,0.6438,0.0267,0.6140,0.8462,MCu
GPT-4V-Turbo,0.6081,0.0310,0.6099,0.5315,MCr
InternVL2-26B,0.6195,0.0624,0.6126,0.4825,MCu
GPT-4o-mini,0.5961,0.0411,0.5807,0.7671,AT
Claude-3-Sonnet,0.5846,0.0447,0.5878,0.7215,GS
Claude-3-Haiku,0.6299,0.0353,0.6095,0.6154,GS
Claude-3-Opus,0.5925,0.0528,0.6111,0.6503,QLq
Phi-3-Vision,0.5970,0.0361,0.5922,0.4126,VL
InternVL-Chat-V1-5,0.5863,0.0464,0.6049,0.6224,MCu
Reka-Core,0.6119,0.0604,0.5918,0.6434,QLl
Ovis1.5-Llama3-8B,0.6139,0.0412,0.6236,0.7483,VO
Ovis1.5-Gemma2-9B,0.6119,0.0325,0.6043,0.7273,MCu
Cambrian-34B,0.6122,0.0421,0.6008,0.4476,GS
Reka-Flash,0.5874,0.0377,0.5911,0.1479,MA
Qwen-VL-Max,0.6335,0.0457,0.6277,0.4685,MCu
InternLM-XComposer2-4KHD,0.5850,0.0436,0.5732,0.5804,AS
MiniCPM-V2-5,0.6491,0.0446,0.6451,0.5709,AT
Mini-Gemini-HD-Yi-34B,0.6393,0.0407,0.6341,0.7902,GS
VILA-1-5-40B,0.5995,0.0434,0.6037,0.6783,VL
Reka-Edge,0.5504,0.0449,0.6035,0.3776,QLl
Gemini-1.0-Pro-Vision,0.5545,0.0542,0.5421,0.4343,MCr
LLaVA-1-6-Yi-34B,0.6276,0.0534,0.6199,0.8811,GS
MoAI,0.5710,0.0472,0.5654,0.4553,GS
IDEFICS-2,0.5354,0.0286,0.5612,0.3776,VL
InternLM-XComposer2,0.5733,0.0587,0.5447,0.7413,AS
Mini-Gemini-HD-LLaMA3-8B,0.6497,0.0559,0.6439,0.6014,MCu
MiniCPM-V2,0.5344,0.0483,0.5598,-0.4196,MCr
DeepSeek-VL,0.5540,0.0592,0.5369,0.5455,MCr
IDEFICS-2-Chatty,0.5274,0.0517,0.5166,0.2098,QLl
SPHINX-V2-13B,0.5891,0.0646,0.5783,0.4406,KNf
Qwen-VL-Plus,0.5910,0.0669,0.5720,0.1608,MA
LLaVA-1-6-Mistral-7B,0.5493,0.0598,0.5572,0.5874,MCr
ChartGemma,0.5389,0.0634,0.5363,0.2867,CL
GPT-4o-Random,0.5716,0.0539,0.6023,0.4615,GS
