target,model,feature,coefficient,abs_coefficient
acc_kimi_vl_a3b,kimi_vl_a3b,image_height,0.03496059050712463,0.03496059050712463
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCu,0.0338034084200125,0.0338034084200125
acc_kimi_vl_a3b,kimi_vl_a3b,caption_word_count,-0.027738486262396892,0.027738486262396892
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_std,0.0269714655559395,0.0269714655559395
acc_kimi_vl_a3b,kimi_vl_a3b,context_char_count,-0.026309622377899338,0.026309622377899338
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_change_count,0.02484429194012922,0.02484429194012922
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLl,-0.02474392893652275,0.02474392893652275
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_finite_count,0.023794798535283174,0.023794798535283174
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_interval_count,0.023794798535283154,0.023794798535283154
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_std,-0.023307250325869566,0.023307250325869566
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_mean_persistence,0.02118724295182432,0.02118724295182432
acc_kimi_vl_a3b,kimi_vl_a3b,caption_math_symbol_count,0.02030403130800447,0.02030403130800447
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_p90_persistence,0.01913668165054051,0.01913668165054051
acc_kimi_vl_a3b,kimi_vl_a3b,claim_char_count,0.01905383648044472,0.01905383648044472
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_mean,-0.018702745852768796,0.018702745852768796
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_argmax_threshold,-0.018557424320476933,0.018557424320476933
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_entropy,0.0179790008773416,0.0179790008773416
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_mean_persistence,0.017058338631866093,0.017058338631866093
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_max,0.01693021088169426,0.01693021088169426
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLq,-0.016923021794635396,0.016923021794635396
acc_kimi_vl_a3b,kimi_vl_a3b,claim_math_symbol_count,-0.0168763590081307,0.0168763590081307
acc_kimi_vl_a3b,kimi_vl_a3b,dim_GS,0.01661506573840116,0.01661506573840116
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_entropy,-0.01649302147173902,0.01649302147173902
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_std,-0.016124701756590937,0.016124701756590937
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AS,-0.01557084344961049,0.01557084344961049
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_total_persistence,-0.014186264042532377,0.014186264042532377
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_std,-0.014104710778681003,0.014104710778681003
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p90_persistence,0.014089913128656742,0.014089913128656742
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_mean,0.013775240737444145,0.013775240737444145
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_max,0.013731315525446855,0.013731315525446855
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_change_count,-0.013501943486648722,0.013501943486648722
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_argmax_threshold,-0.013222146431286044,0.013222146431286044
acc_kimi_vl_a3b,kimi_vl_a3b,image_aspect_ratio,0.013193774626443984,0.013193774626443984
acc_kimi_vl_a3b,kimi_vl_a3b,tda_resized_aspect_ratio,0.01237067869909431,0.01237067869909431
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MA,0.011984665179942388,0.011984665179942388
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_max_persistence,-0.011903820627827886,0.011903820627827886
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_std,-0.011750002399966281,0.011750002399966281
acc_kimi_vl_a3b,kimi_vl_a3b,claim_type_direct,-0.01085596973322834,0.01085596973322834
acc_kimi_vl_a3b,kimi_vl_a3b,claim_type_analytical,0.010855969733228244,0.010855969733228244
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_std_persistence,-0.010561255547280017,0.010561255547280017
acc_kimi_vl_a3b,kimi_vl_a3b,caption_percent_count,-0.01036853598128545,0.01036853598128545
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_p95_persistence,-0.010346402192881694,0.010346402192881694
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_mean_persistence,-0.010322838097344073,0.010322838097344073
acc_kimi_vl_a3b,kimi_vl_a3b,claim_word_count,0.01002977190411328,0.01002977190411328
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_max_persistence,0.009849958856023406,0.009849958856023406
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_std_persistence,-0.009691467454245605,0.009691467454245605
acc_kimi_vl_a3b,kimi_vl_a3b,dim_CL,0.009685310076053196,0.009685310076053196
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_min,0.00961751324813188,0.00961751324813188
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_interval_count,-0.009183401650918587,0.009183401650918587
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_finite_count,-0.009183401650918556,0.009183401650918556
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_max,0.008901135736617074,0.008901135736617074
