target,model,feature,coefficient,abs_coefficient
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_distance_max,-0.03172359580728737,0.03172359580728737
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCu,0.03145732003129448,0.03145732003129448
acc_kimi_vl_a3b,kimi_vl_a3b,image_height,0.02671952602894618,0.02671952602894618
acc_kimi_vl_a3b,kimi_vl_a3b,context_char_count,-0.0260858478954436,0.0260858478954436
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_unique_token_count,0.025742127785883088,0.025742127785883088
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLl,-0.025450409619852486,0.025450409619852486
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_percent_overlap_count,0.025217097530366175,0.025217097530366175
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_06,0.02257730155022666,0.02257730155022666
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_mean,-0.021139780575855582,0.021139780575855582
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_interval_count,0.01938921360296198,0.01938921360296198
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_std,0.01886939058706181,0.01886939058706181
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_arithmetic_rate,-0.01784083410591676,0.01784083410591676
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_15,-0.017553789539572675,0.017553789539572675
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_std_persistence,-0.01656288982922642,0.01656288982922642
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_12,-0.01578430200710726,0.01578430200710726
acc_kimi_vl_a3b,kimi_vl_a3b,caption_word_count,-0.01568206962392657,0.01568206962392657
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p90_persistence,0.015200288987433992,0.015200288987433992
acc_kimi_vl_a3b,kimi_vl_a3b,caption_percent_count,-0.015137598140852481,0.015137598140852481
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_distance_std,0.014405637938866742,0.014405637938866742
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_argmax_threshold,-0.013796516124265757,0.013796516124265757
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_05,-0.013307617094565448,0.013307617094565448
acc_kimi_vl_a3b,kimi_vl_a3b,dim_GS,0.01282301347895438,0.01282301347895438
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_p90_persistence,0.012498259623879031,0.012498259623879031
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_temporal_rate,0.012462562381573524,0.012462562381573524
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_comparison_count,0.012253926797960809,0.012253926797960809
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLq,-0.012194414137923125,0.012194414137923125
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_p95_persistence,0.01154296753263129,0.01154296753263129
acc_kimi_vl_a3b,kimi_vl_a3b,image_aspect_ratio,0.011537686154681044,0.011537686154681044
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AS,-0.011278008243285708,0.011278008243285708
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_p90_persistence,0.010960868687945678,0.010960868687945678
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_22,0.010465731461861577,0.010465731461861577
acc_kimi_vl_a3b,kimi_vl_a3b,caption_math_symbol_count,0.010451925481899433,0.010451925481899433
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_change_count,0.010306564377115768,0.010306564377115768
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_content_jaccard,-0.010182160486076449,0.010182160486076449
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_23,0.009337664633997373,0.009337664633997373
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_01,-0.008677340279115696,0.008677340279115696
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_std,-0.008613303804649667,0.008613303804649667
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_total_persistence,-0.008457320680920628,0.008457320680920628
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_change_count,-0.008131362672999244,0.008131362672999244
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_mean_persistence,0.007997071039573398,0.007997071039573398
acc_kimi_vl_a3b,kimi_vl_a3b,dim_CL,0.007932473003596686,0.007932473003596686
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_p95_persistence,-0.006957598262814679,0.006957598262814679
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_argmax_threshold,-0.006482248724599239,0.006482248724599239
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_entropy,-0.00618601011009254,0.00618601011009254
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_type_token_ratio,0.005727947262822925,0.005727947262822925
acc_kimi_vl_a3b,kimi_vl_a3b,claim_math_symbol_count,-0.005551910495617067,0.005551910495617067
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_mean_persistence,-0.005434025974264436,0.005434025974264436
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_finite_count,0.005191142584184463,0.005191142584184463
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_13,-0.005138156345907682,0.005138156345907682
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_numeric_jaccard,0.005110019305586694,0.005110019305586694
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_std_persistence,-0.0050077524480084306,0.0050077524480084306
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_interval_count,0.004574192286387034,0.004574192286387034
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_max,0.004350256488708006,0.004350256488708006
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_superlative_count,0.0042150902493103635,0.0042150902493103635
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_uncertainty_rate,0.003990072884037978,0.003990072884037978
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_negation_rate,0.003610758589345186,0.003610758589345186
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_essential_count,0.0033301752219643704,0.0033301752219643704
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_essential_count,-0.0031753456148480466,0.0031753456148480466
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_17,-0.002901523843610115,0.002901523843610115
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_11,-0.002870924463467606,0.002870924463467606
acc_kimi_vl_a3b,kimi_vl_a3b,claim_percent_count,-0.0028629352403878768,0.0028629352403878768
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AT,0.002748646225446574,0.002748646225446574
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_08,0.002288001886316041,0.002288001886316041
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_negation_count,0.0021077729343496397,0.0021077729343496397
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_09,0.0017248120568176927,0.0017248120568176927
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_20,-0.0014172669124288084,0.0014172669124288084
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_max_persistence,-0.0012992281504362489,0.0012992281504362489
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_16,-0.0012800038084300309,0.0012800038084300309
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_07,0.0011921751174371474,0.0011921751174371474
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_max_persistence,-0.0011120273289745208,0.0011120273289745208
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_02,-0.0010793693299155434,0.0010793693299155434
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MA,0.0009965643450714297,0.0009965643450714297
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_21,0.0006695773708819026,0.0006695773708819026
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_00,0.0005018413923053838,0.0005018413923053838
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCr,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VO,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_KNf,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VL,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_char_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_char_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_word_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_numeric_token_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_numeric_token_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,image_width,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_area,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_mean,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_min,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_std,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_area,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_max,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_mean,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_std,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_entropy,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_finite_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_interval_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_mean_persistence,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p95_persistence,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_std_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_area,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_change_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_max,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_mean,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_std,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_entropy,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_mean_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_p90_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_p95_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_total_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_area,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_max,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_mean,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_min,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_std,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_area,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_argmax_threshold,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_max,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_mean,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_std,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_finite_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_interval_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_max_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_mean_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_p90_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_total_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_area,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_argmax_threshold,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_change_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_max,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_mean,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_betti_std,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_entropy,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_finite_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_interval_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_max_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_p95_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_std_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_total_persistence,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_mean,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_resized_aspect_ratio,0.0,0.0
