candidate_id,kind,hidden_layer_sizes,hidden_layer_count,max_hidden_width,activation,alpha,optimizer,seed,input_dim,output_dim,parameter_count,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap,fit_seconds
mlp_layers=8_act=relu_alpha=0.0001,torch_mlp,"(8,)",1,8,relu,0.0001,torch_lbfgs,215,187,3,1531,1531.0,1,torch mlp 8 relu a=0.0001,0.853873,0.422764,0.431109,0.044718,0.300813,0.256095,0.131125
mlp_layers=8_act=relu_alpha=0.001,torch_mlp,"(8,)",1,8,relu,0.001,torch_lbfgs,215,187,3,1531,1531.0,2,torch mlp 8 relu a=0.001,0.866197,0.398374,0.467823,0.041901,0.320325,0.278424,0.130613
mlp_layers=8_act=relu_alpha=0.01,torch_mlp,"(8,)",1,8,relu,0.01,torch_lbfgs,215,187,3,1531,1531.0,3,torch mlp 8 relu a=0.01,0.846831,0.439024,0.407807,0.048239,0.287805,0.239566,0.131604
mlp_layers=8_act=relu_alpha=0.1,torch_mlp,"(8,)",1,8,relu,0.1,torch_lbfgs,215,187,3,1531,1531.0,4,torch mlp 8 relu a=0.1,0.859155,0.471545,0.38761,0.04331,0.286179,0.242869,0.132026
mlp_layers=8_act=tanh_alpha=0.0001,torch_mlp,"(8,)",1,8,tanh,0.0001,torch_lbfgs,215,187,3,1531,1531.0,5,torch mlp 8 tanh a=0.0001,0.892606,0.414634,0.477972,0.033451,0.326829,0.293378,0.141247
mlp_layers=8_act=tanh_alpha=0.001,torch_mlp,"(8,)",1,8,tanh,0.001,torch_lbfgs,215,187,3,1531,1531.0,6,torch mlp 8 tanh a=0.001,0.90669,0.373984,0.532706,0.030634,0.352846,0.322212,0.158115
mlp_layers=8_act=tanh_alpha=0.01,torch_mlp,"(8,)",1,8,tanh,0.01,torch_lbfgs,215,187,3,1531,1531.0,7,torch mlp 8 tanh a=0.01,0.917254,0.439024,0.47823,0.026056,0.302439,0.276383,0.15977
mlp_layers=8_act=tanh_alpha=0.1,torch_mlp,"(8,)",1,8,tanh,0.1,torch_lbfgs,215,187,3,1531,1531.0,8,torch mlp 8 tanh a=0.1,0.93662,0.414634,0.521986,0.016197,0.299187,0.28299,0.140399
mlp_layers=16_act=relu_alpha=0.0001,torch_mlp,"(16,)",1,16,relu,0.0001,torch_lbfgs,215,187,3,3059,3059.0,9,torch mlp 16 relu a=0.0001,0.998239,0.422764,0.575475,0.000352,0.323577,0.323225,0.18208
mlp_layers=16_act=relu_alpha=0.001,torch_mlp,"(16,)",1,16,relu,0.001,torch_lbfgs,215,187,3,3059,3059.0,10,torch mlp 16 relu a=0.001,0.996479,0.439024,0.557455,0.000704,0.282927,0.282223,0.178516
mlp_layers=16_act=relu_alpha=0.01,torch_mlp,"(16,)",1,16,relu,0.01,torch_lbfgs,215,187,3,3059,3059.0,11,torch mlp 16 relu a=0.01,0.996479,0.398374,0.598105,0.000704,0.315447,0.314743,0.178642
mlp_layers=16_act=relu_alpha=0.1,torch_mlp,"(16,)",1,16,relu,0.1,torch_lbfgs,215,187,3,3059,3059.0,12,torch mlp 16 relu a=0.1,0.996479,0.439024,0.557455,0.000704,0.263415,0.262711,0.179485
mlp_layers=16_act=tanh_alpha=0.0001,torch_mlp,"(16,)",1,16,tanh,0.0001,torch_lbfgs,215,187,3,3059,3059.0,13,torch mlp 16 tanh a=0.0001,0.998239,0.422764,0.575475,0.000352,0.294309,0.293957,0.188106
mlp_layers=16_act=tanh_alpha=0.001,torch_mlp,"(16,)",1,16,tanh,0.001,torch_lbfgs,215,187,3,3059,3059.0,14,torch mlp 16 tanh a=0.001,1.0,0.414634,0.585366,0.0,0.302439,0.302439,0.188576
