replicate,rows,unique_groups,top1_hit_rate,mean_regret,median_regret
1,123,55,0.44715447154471544,0.2536585365853658,0.2
2,114,59,0.49122807017543857,0.23333333333333334,0.2
3,120,56,0.4583333333333333,0.24500000000000002,0.2
4,128,56,0.484375,0.2578125,0.2
5,116,54,0.5,0.2810344827586207,0.1
6,116,54,0.4827586206896552,0.24655172413793106,0.2
7,122,54,0.47540983606557374,0.22950819672131148,0.2
8,116,59,0.4827586206896552,0.2620689655172414,0.2
9,111,58,0.44144144144144143,0.25405405405405407,0.2
10,114,65,0.5350877192982456,0.20526315789473684,0.0
11,122,51,0.5,0.23934426229508196,0.1
12,123,54,0.43902439024390244,0.3008130081300813,0.2
13,108,55,0.5555555555555556,0.2037037037037037,0.0
14,114,55,0.5263157894736842,0.22456140350877193,0.0
15,116,56,0.43103448275862066,0.29655172413793107,0.2
16,120,54,0.5083333333333333,0.23500000000000001,0.0
17,122,62,0.5163934426229508,0.21147540983606558,0.0
18,126,56,0.4444444444444444,0.2603174603174603,0.2
19,117,55,0.5213675213675214,0.22051282051282048,0.0
20,125,60,0.528,0.21599999999999997,0.0
21,125,50,0.44,0.24800000000000003,0.2
22,125,60,0.536,0.22560000000000002,0.0
23,126,58,0.42063492063492064,0.2650793650793651,0.2
24,116,56,0.603448275862069,0.20517241379310344,0.0
25,120,53,0.5083333333333333,0.21166666666666664,0.0
26,129,57,0.49612403100775193,0.2558139534883721,0.2
27,125,55,0.424,0.27040000000000003,0.2
28,112,54,0.5178571428571429,0.24285714285714288,0.0
29,123,55,0.4634146341463415,0.25203252032520324,0.2
30,123,59,0.4796747967479675,0.2682926829268293,0.2
31,123,59,0.4715447154471545,0.2617886178861789,0.2
32,119,58,0.453781512605042,0.29411764705882354,0.2
33,120,56,0.5916666666666667,0.1866666666666667,0.0
34,122,61,0.4344262295081967,0.2704918032786886,0.2
35,123,56,0.43902439024390244,0.24065040650406508,0.2
36,112,57,0.5446428571428571,0.21071428571428572,0.0
37,115,59,0.4608695652173913,0.26434782608695656,0.2
38,113,57,0.4690265486725664,0.25309734513274335,0.2
39,118,58,0.5084745762711864,0.24745762711864405,0.0
40,119,59,0.4957983193277311,0.226890756302521,0.2
41,120,52,0.5333333333333333,0.23166666666666663,0.0
