candidate_id,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,1.0,0.0,215,50.0,1,50 trees d=1,0.577465,0.495935,0.08153,0.18838,0.243902,0.055522
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,1.0,0.1,215,50.0,2,50 trees d=1,0.579225,0.504065,0.07516,0.188028,0.242276,0.054248
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,5.0,0.0,215,50.0,3,50 trees d=1,0.568662,0.504065,0.064597,0.189789,0.239024,0.049235
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,5.0,0.1,215,50.0,4,50 trees d=1,0.565141,0.504065,0.061076,0.194366,0.234146,0.03978
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,10.0,0.0,215,50.0,5,50 trees d=1,0.559859,0.512195,0.047664,0.197535,0.230894,0.033359
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,10.0,0.1,215,50.0,6,50 trees d=1,0.56162,0.512195,0.049425,0.197183,0.230894,0.033711
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,1.0,0.0,215,50.0,7,50 trees d=1,0.588028,0.504065,0.083963,0.178873,0.24065,0.061777
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,1.0,0.1,215,50.0,8,50 trees d=1,0.591549,0.504065,0.087484,0.180634,0.24065,0.060016
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,5.0,0.0,215,50.0,9,50 trees d=1,0.566901,0.495935,0.070966,0.193662,0.239024,0.045362
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,5.0,0.1,215,50.0,10,50 trees d=1,0.572183,0.495935,0.076248,0.192254,0.239024,0.04677
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,10.0,0.0,215,50.0,11,50 trees d=1,0.565141,0.495935,0.069206,0.194718,0.24065,0.045932
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,10.0,0.1,215,50.0,12,50 trees d=1,0.566901,0.495935,0.070966,0.193662,0.24065,0.046988
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,1.0,0.0,215,50.0,13,50 trees d=1,0.566901,0.487805,0.079096,0.198944,0.261789,0.062845
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,1.0,0.1,215,50.0,14,50 trees d=1,0.565141,0.479675,0.085466,0.198944,0.265041,0.066097
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,5.0,0.0,215,50.0,15,50 trees d=1,0.558099,0.504065,0.054034,0.203521,0.243902,0.040381
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,5.0,0.1,215,50.0,16,50 trees d=1,0.56162,0.504065,0.057555,0.201408,0.243902,0.042494
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,10.0,0.0,215,50.0,17,50 trees d=1,0.556338,0.504065,0.052273,0.202817,0.242276,0.039459
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,10.0,0.1,215,50.0,18,50 trees d=1,0.556338,0.504065,0.052273,0.202465,0.242276,0.039811
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,1.0,0.0,215,50.0,19,50 trees d=1,0.568662,0.479675,0.088987,0.198944,0.265041,0.066097
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,1.0,0.1,215,50.0,20,50 trees d=1,0.570423,0.487805,0.082618,0.196831,0.261789,0.064958
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,5.0,0.0,215,50.0,21,50 trees d=1,0.558099,0.495935,0.062164,0.202817,0.250407,0.04759
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,5.0,0.1,215,50.0,22,50 trees d=1,0.559859,0.504065,0.055794,0.201056,0.243902,0.042846
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.03,1.0,1.0,10.0,0.0,215,50.0,23,50 trees d=1,0.558099,0.504065,0.054034,0.201408,0.242276,0.040868
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.03,1.0,1.0,10.0,0.1,215,50.0,24,50 trees d=1,0.554577,0.504065,0.050512,0.2,0.242276,0.042276
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,1.0,0.0,215,50.0,25,50 trees d=1,0.603873,0.495935,0.107938,0.169366,0.247154,0.077788
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,1.0,0.1,215,50.0,26,50 trees d=1,0.603873,0.504065,0.099808,0.167958,0.243902,0.075944
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,5.0,0.0,215,50.0,27,50 trees d=1,0.596831,0.504065,0.092766,0.169366,0.243902,0.074536
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,5.0,0.1,215,50.0,28,50 trees d=1,0.598592,0.512195,0.086397,0.168662,0.242276,0.073614
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.05,0.8,0.8,10.0,0.0,215,50.0,29,50 trees d=1,0.579225,0.528455,0.05077,0.176056,0.226016,0.04996
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.05,0.8,0.8,10.0,0.1,215,50.0,30,50 trees d=1,0.577465,0.528455,0.04901,0.177817,0.226016,0.048199
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.05,0.8,1.0,1.0,0.0,215,50.0,31,50 trees d=1,0.602113,0.504065,0.098048,0.167254,0.245528,0.078274
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.05,0.8,1.0,1.0,0.1,215,50.0,32,50 trees d=1,0.596831,0.495935,0.100896,0.170775,0.245528,0.074753
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.05,0.8,1.0,5.0,0.0,215,50.0,33,50 trees d=1,0.591549,0.487805,0.103744,0.171831,0.253659,0.081828
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.05,0.8,1.0,5.0,0.1,215,50.0,34,50 trees d=1,0.598592,0.495935,0.102657,0.169366,0.242276,0.07291
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.05,0.8,1.0,10.0,0.0,215,50.0,35,50 trees d=1,0.577465,0.495935,0.08153,0.177113,0.242276,0.065163
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.05,0.8,1.0,10.0,0.1,215,50.0,36,50 trees d=1,0.579225,0.487805,0.09142,0.173944,0.243902,0.069958
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.05,1.0,0.8,1.0,0.0,215,50.0,37,50 trees d=1,0.59507,0.495935,0.099135,0.175,0.258537,0.083537
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.05,1.0,0.8,1.0,0.1,215,50.0,38,50 trees d=1,0.59331,0.504065,0.089245,0.178169,0.252033,0.073864
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.05,1.0,0.8,5.0,0.0,215,50.0,39,50 trees d=1,0.582746,0.487805,0.094941,0.178169,0.253659,0.07549
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.05,1.0,0.8,5.0,0.1,215,50.0,40,50 trees d=1,0.586268,0.487805,0.098463,0.175352,0.253659,0.078307
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.05,1.0,0.8,10.0,0.0,215,50.0,41,50 trees d=1,0.586268,0.479675,0.106593,0.176056,0.255285,0.079229
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.05,1.0,0.8,10.0,0.1,215,50.0,42,50 trees d=1,0.586268,0.487805,0.098463,0.177817,0.24878,0.070963
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.05,1.0,1.0,1.0,0.0,215,50.0,43,50 trees d=1,0.596831,0.512195,0.084636,0.176056,0.24878,0.072724
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.05,1.0,1.0,1.0,0.1,215,50.0,44,50 trees d=1,0.59331,0.504065,0.089245,0.177113,0.252033,0.07492
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.05,1.0,1.0,5.0,0.0,215,50.0,45,50 trees d=1,0.573944,0.487805,0.086139,0.182042,0.253659,0.071617
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.05,1.0,1.0,5.0,0.1,215,50.0,46,50 trees d=1,0.577465,0.487805,0.08966,0.179225,0.253659,0.074434
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.05,1.0,1.0,10.0,0.0,215,50.0,47,50 trees d=1,0.579225,0.463415,0.11581,0.178873,0.266667,0.087794
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.05,1.0,1.0,10.0,0.1,215,50.0,48,50 trees d=1,0.586268,0.479675,0.106593,0.177817,0.255285,0.077468
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.1,0.8,0.8,1.0,0.0,215,50.0,49,50 trees d=1,0.632042,0.504065,0.127977,0.152465,0.235772,0.083307
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.1,0.8,0.8,1.0,0.1,215,50.0,50,50 trees d=1,0.633803,0.504065,0.129738,0.150704,0.235772,0.085068
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.1,0.8,0.8,5.0,0.0,215,50.0,51,50 trees d=1,0.612676,0.479675,0.133001,0.158099,0.250407,0.092308
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.1,0.8,0.8,5.0,0.1,215,50.0,52,50 trees d=1,0.609155,0.495935,0.11322,0.160563,0.234146,0.073583
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.1,0.8,0.8,10.0,0.0,215,50.0,53,50 trees d=1,0.616197,0.504065,0.112132,0.149648,0.226016,0.076368
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.1,0.8,0.8,10.0,0.1,215,50.0,54,50 trees d=1,0.616197,0.504065,0.112132,0.149648,0.226016,0.076368
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.1,0.8,1.0,1.0,0.0,215,50.0,55,50 trees d=1,0.651408,0.479675,0.171733,0.139437,0.250407,0.11097
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.1,0.8,1.0,1.0,0.1,215,50.0,56,50 trees d=1,0.640845,0.504065,0.13678,0.144718,0.234146,0.089428
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.1,0.8,1.0,5.0,0.0,215,50.0,57,50 trees d=1,0.637324,0.479675,0.157649,0.143662,0.255285,0.111623
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.1,0.8,1.0,5.0,0.1,215,50.0,58,50 trees d=1,0.637324,0.430894,0.20643,0.141549,0.274797,0.133248
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.1,0.8,1.0,10.0,0.0,215,50.0,59,50 trees d=1,0.632042,0.479675,0.152367,0.145423,0.237398,0.091975
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.1,0.8,1.0,10.0,0.1,215,50.0,60,50 trees d=1,0.632042,0.487805,0.144237,0.144718,0.237398,0.09268
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.1,1.0,0.8,1.0,0.0,215,50.0,61,50 trees d=1,0.619718,0.495935,0.123783,0.155282,0.245528,0.090246
