target,model,feature,coefficient,abs_coefficient
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AS,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_AT,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCr,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLl,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_QLq,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VO,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_CL,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_GS,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_KNf,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MA,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_MCu,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,dim_VL,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,context_char_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_char_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_char_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_word_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_word_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_numeric_token_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_numeric_token_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_percent_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_percent_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,claim_math_symbol_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,caption_math_symbol_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,image_width,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,image_height,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,image_aspect_ratio,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_area,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_max,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_mean,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_min,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_std,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_area,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_argmax_threshold,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_change_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_max,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_mean,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_betti_std,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_entropy,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_finite_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_interval_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_max_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_mean_persistence,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p90_persistence,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p95_persistence,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_std_persistence,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_total_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_area,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_argmax_threshold,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_change_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_max,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_mean,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_betti_std,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_entropy,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_essential_count,0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_finite_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_interval_count,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_max_persistence,-0.0,0.0
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_mean_persistence,-0.0,0.0
