replicate,rows,unique_groups,top1_hit_rate,mean_regret,median_regret
1,123,55,0.4065040650406504,0.3235772357723577,0.2
2,114,59,0.4298245614035088,0.33684210526315794,0.2
3,120,56,0.36666666666666664,0.315,0.2
4,128,56,0.4453125,0.3046875,0.2
5,116,54,0.4396551724137931,0.3258620689655172,0.2
6,116,54,0.46551724137931033,0.2672413793103448,0.2
7,122,54,0.36885245901639346,0.3491803278688525,0.2
8,116,59,0.41379310344827586,0.2862068965517242,0.2
9,111,58,0.3153153153153153,0.363963963963964,0.4
10,114,65,0.45614035087719296,0.2736842105263158,0.2
11,122,51,0.4672131147540984,0.27049180327868855,0.2
12,123,54,0.3983739837398374,0.3040650406504065,0.2
13,108,55,0.5,0.2388888888888889,0.1
14,114,55,0.42105263157894735,0.3087719298245614,0.2
15,116,56,0.3706896551724138,0.3551724137931035,0.30000000000000004
16,120,54,0.4166666666666667,0.31833333333333336,0.2
17,122,62,0.4098360655737705,0.26721311475409837,0.2
18,126,56,0.31746031746031744,0.34126984126984133,0.2
19,117,55,0.4444444444444444,0.2991452991452992,0.2
20,125,60,0.416,0.27040000000000003,0.2
21,125,50,0.44,0.28,0.2
22,125,60,0.416,0.288,0.2
23,126,58,0.3412698412698413,0.33650793650793653,0.2
24,116,56,0.3793103448275862,0.3103448275862069,0.2
25,120,53,0.4583333333333333,0.27666666666666667,0.2
26,129,57,0.4108527131782946,0.3069767441860465,0.2
27,125,55,0.456,0.272,0.2
28,112,54,0.36607142857142855,0.2857142857142857,0.2
29,123,55,0.3821138211382114,0.30569105691056914,0.2
30,123,59,0.42276422764227645,0.3170731707317073,0.2
31,123,59,0.4146341463414634,0.3121951219512195,0.2
32,119,58,0.46218487394957986,0.2689075630252101,0.2
33,120,56,0.44166666666666665,0.275,0.2
34,122,61,0.39344262295081966,0.3344262295081968,0.2
35,123,56,0.3821138211382114,0.30569105691056914,0.2
36,112,57,0.4732142857142857,0.2839285714285714,0.2
37,115,59,0.41739130434782606,0.28695652173913044,0.2
38,113,57,0.4778761061946903,0.288495575221239,0.2
39,118,58,0.4322033898305085,0.29322033898305083,0.2
40,119,59,0.453781512605042,0.280672268907563,0.2
41,120,52,0.4,0.3016666666666667,0.2
42,116,61,0.4051724137931034,0.30000000000000004,0.2
43,121,53,0.48760330578512395,0.2892561983471075,0.2
44,126,53,0.3253968253968254,0.31587301587301586,0.2
45,121,59,0.4049586776859504,0.2859504132231405,0.2
46,119,61,0.4369747899159664,0.29915966386554627,0.2
47,116,60,0.3706896551724138,0.3103448275862069,0.2
48,118,58,0.3389830508474576,0.33728813559322035,0.2
49,120,53,0.35,0.3433333333333334,0.2
50,121,54,0.4049586776859504,0.2975206611570248,0.2
51,121,55,0.371900826446281,0.3173553719008264,0.2
52,128,55,0.4296875,0.3171875,0.2
53,115,56,0.40869565217391307,0.328695652173913,0.2
54,121,58,0.4132231404958678,0.33223140495867765,0.2
55,120,65,0.35833333333333334,0.3316666666666667,0.2
56,116,56,0.4396551724137931,0.2879310344827586,0.2
57,121,55,0.4462809917355372,0.27603305785123966,0.2
58,123,65,0.3902439024390244,0.3056910569105692,0.2
59,119,59,0.33613445378151263,0.3277310924369748,0.2
60,121,59,0.3884297520661157,0.2991735537190083,0.2
61,118,58,0.4915254237288136,0.2423728813559322,0.2
62,128,61,0.4375,0.30000000000000004,0.2
63,124,62,0.4596774193548387,0.2822580645161291,0.2
64,123,61,0.37398373983739835,0.3219512195121952,0.2
65,126,55,0.3492063492063492,0.3253968253968254,0.2
66,112,54,0.38392857142857145,0.3178571428571429,0.2
67,123,53,0.34146341463414637,0.375609756097561,0.4
68,127,53,0.4015748031496063,0.3070866141732284,0.2
69,123,55,0.43902439024390244,0.2926829268292683,0.2
70,120,53,0.39166666666666666,0.315,0.2
71,124,60,0.3548387096774194,0.32580645161290317,0.2
72,116,63,0.39655172413793105,0.29137931034482756,0.2
73,115,53,0.3130434782608696,0.3321739130434782,0.2
74,118,58,0.3305084745762712,0.3813559322033899,0.4
75,117,55,0.39316239316239315,0.2854700854700855,0.2
