replicate,rows,unique_groups,top1_hit_rate,mean_regret,median_regret
1,123,55,0.5121951219512195,0.24552845528455283,0.0
2,114,59,0.47368421052631576,0.27017543859649124,0.2
3,120,56,0.4166666666666667,0.2866666666666667,0.2
4,128,56,0.484375,0.271875,0.2
5,116,54,0.4482758620689655,0.31896551724137934,0.2
6,116,54,0.45689655172413796,0.2551724137931034,0.2
7,122,54,0.4918032786885246,0.25245901639344265,0.2
8,116,59,0.43103448275862066,0.3155172413793105,0.2
9,111,58,0.45045045045045046,0.2486486486486487,0.2
10,114,65,0.5175438596491229,0.22456140350877193,0.0
11,122,51,0.4672131147540984,0.2868852459016394,0.2
12,123,54,0.45528455284552843,0.31056910569105695,0.2
13,108,55,0.4722222222222222,0.27037037037037037,0.2
14,114,55,0.49122807017543857,0.2596491228070175,0.2
15,116,56,0.41379310344827586,0.3086206896551725,0.2
16,120,54,0.425,0.3116666666666667,0.2
17,122,62,0.4426229508196721,0.2573770491803279,0.2
18,126,56,0.5476190476190477,0.19365079365079366,0.0
19,117,55,0.42735042735042733,0.2700854700854701,0.2
20,125,60,0.448,0.26720000000000005,0.2
21,125,50,0.48,0.23200000000000004,0.2
22,125,60,0.52,0.2416,0.0
23,126,58,0.47619047619047616,0.26825396825396836,0.2
24,116,56,0.5,0.24827586206896554,0.1
25,120,53,0.45,0.2700000000000001,0.2
26,129,57,0.5348837209302325,0.24806201550387594,0.0
27,125,55,0.568,0.23039999999999997,0.0
28,112,54,0.5,0.22321428571428573,0.1
29,123,55,0.4878048780487805,0.22926829268292684,0.2
30,123,59,0.5528455284552846,0.24227642276422764,0.0
31,123,59,0.4146341463414634,0.33495934959349594,0.2
32,119,58,0.46218487394957986,0.31260504201680683,0.2
33,120,56,0.5083333333333333,0.26833333333333337,0.0
34,122,61,0.45081967213114754,0.2901639344262295,0.2
35,123,56,0.5121951219512195,0.21463414634146347,0.0
36,112,57,0.4017857142857143,0.29999999999999993,0.2
37,115,59,0.48695652173913045,0.2591304347826087,0.2
38,113,57,0.5132743362831859,0.24601769911504426,0.0
39,118,58,0.5254237288135594,0.24406779661016953,0.0
40,119,59,0.42016806722689076,0.2857142857142858,0.2
41,120,52,0.525,0.24333333333333335,0.0
42,116,61,0.5775862068965517,0.20689655172413796,0.0
43,121,53,0.48760330578512395,0.27933884297520667,0.2
44,126,53,0.4444444444444444,0.2682539682539683,0.2
45,121,59,0.45454545454545453,0.28264462809917357,0.2
46,119,61,0.4789915966386555,0.29411764705882365,0.2
47,116,60,0.49137931034482757,0.2137931034482759,0.2
48,118,58,0.423728813559322,0.28644067796610173,0.2
49,120,53,0.4666666666666667,0.2516666666666667,0.2
50,121,54,0.5206611570247934,0.19834710743801653,0.0
51,121,55,0.4462809917355372,0.24462809917355374,0.2
52,128,55,0.3984375,0.29218750000000004,0.2
53,115,56,0.4608695652173913,0.2782608695652174,0.2
54,121,58,0.4380165289256198,0.2958677685950414,0.2
55,120,65,0.5083333333333333,0.22833333333333336,0.0
56,116,56,0.4396551724137931,0.2827586206896552,0.2
57,121,55,0.47107438016528924,0.23636363636363641,0.2
58,123,65,0.45528455284552843,0.23577235772357724,0.2
59,119,59,0.5126050420168067,0.226890756302521,0.0
60,121,59,0.4380165289256198,0.2710743801652893,0.2
61,118,58,0.5338983050847458,0.25084745762711863,0.0
62,128,61,0.484375,0.29375,0.2
63,124,62,0.4274193548387097,0.2967741935483872,0.2
64,123,61,0.43902439024390244,0.2813008130081301,0.2
65,126,55,0.4126984126984127,0.2825396825396826,0.2
66,112,54,0.4107142857142857,0.2857142857142857,0.2
67,123,53,0.5528455284552846,0.23577235772357724,0.0
68,127,53,0.49606299212598426,0.2598425196850394,0.2
69,123,55,0.4634146341463415,0.27642276422764234,0.2
70,120,53,0.43333333333333335,0.29333333333333333,0.2
71,124,60,0.49193548387096775,0.24516129032258063,0.2
72,116,63,0.5172413793103449,0.22068965517241382,0.0
73,115,53,0.3826086956521739,0.3060869565217391,0.2
74,118,58,0.4915254237288136,0.2677966101694915,0.2
75,117,55,0.46153846153846156,0.27350427350427353,0.2
76,113,57,0.45132743362831856,0.26194690265486725,0.2
77,111,58,0.46846846846846846,0.25585585585585585,0.2
78,129,51,0.4806201550387597,0.26046511627906976,0.2
79,115,59,0.4956521739130435,0.25043478260869567,0.2
80,129,56,0.5193798449612403,0.23875968992248062,0.0
81,114,52,0.49122807017543857,0.24385964912280705,0.2
82,123,52,0.4715447154471545,0.2552845528455285,0.2
83,126,53,0.5158730158730159,0.2555555555555556,0.0
84,125,57,0.472,0.28800000000000003,0.2
85,120,59,0.49166666666666664,0.23666666666666666,0.2
86,123,60,0.4796747967479675,0.25203252032520324,0.2
87,124,57,0.4112903225806452,0.33548387096774196,0.2
88,117,59,0.42735042735042733,0.30085470085470095,0.2
89,113,52,0.3893805309734513,0.2902654867256637,0.2
90,122,57,0.4016393442622951,0.30163934426229516,0.2
91,125,58,0.496,0.26080000000000003,0.2
92,124,54,0.4435483870967742,0.3032258064516129,0.2
93,113,55,0.49557522123893805,0.25663716814159293,0.2
94,118,52,0.5084745762711864,0.276271186440678,0.0
95,126,56,0.49206349206349204,0.26031746031746034,0.2
96,120,58,0.43333333333333335,0.29500000000000004,0.2
97,127,56,0.4881889763779528,0.27086614173228346,0.2
98,110,50,0.45454545454545453,0.28909090909090907,0.2
99,120,56,0.44166666666666665,0.2916666666666667,0.2
100,120,54,0.5416666666666666,0.2866666666666667,0.0
101,118,55,0.4661016949152542,0.26610169491525426,0.2
102,121,58,0.4214876033057851,0.25785123966942153,0.2
103,119,54,0.44537815126050423,0.307563025210084,0.2
104,127,51,0.3700787401574803,0.3118110236220473,0.2
105,126,60,0.5158730158730159,0.23015873015873017,0.0
106,115,59,0.41739130434782606,0.31999999999999995,0.2
107,120,59,0.5083333333333333,0.22,0.0
108,123,50,0.5040650406504065,0.26666666666666666,0.0
109,119,57,0.3865546218487395,0.3243697478991596,0.2
110,125,55,0.416,0.31840000000000007,0.2
111,127,57,0.5118110236220472,0.247244094488189,0.0
112,125,55,0.448,0.29120000000000007,0.2
113,114,54,0.4649122807017544,0.2543859649122807,0.2
114,122,61,0.47540983606557374,0.25081967213114753,0.2
115,121,58,0.4214876033057851,0.315702479338843,0.2
116,123,60,0.45528455284552843,0.2878048780487805,0.2
117,126,54,0.47619047619047616,0.2555555555555556,0.2
118,117,47,0.5128205128205128,0.2290598290598291,0.0
119,120,62,0.475,0.26833333333333337,0.2
120,122,58,0.5163934426229508,0.239344262295082,0.0
121,121,58,0.4297520661157025,0.29090909090909095,0.2
122,119,59,0.4117647058823529,0.32773109243697485,0.2
123,117,54,0.41025641025641024,0.30598290598290595,0.2
124,126,61,0.4444444444444444,0.2904761904761905,0.2
125,127,55,0.4094488188976378,0.33700787401574794,0.2
126,117,54,0.47863247863247865,0.23760683760683762,0.2
127,115,59,0.4260869565217391,0.3095652173913044,0.2
128,117,58,0.41025641025641024,0.2974358974358975,0.2
129,125,59,0.464,0.2544,0.2
130,118,58,0.4830508474576271,0.24745762711864405,0.2
131,118,57,0.4322033898305085,0.2661016949152542,0.2
132,126,62,0.4523809523809524,0.2698412698412698,0.2
133,119,58,0.5042016806722689,0.23193277310924373,0.0
134,123,56,0.4634146341463415,0.2829268292682927,0.2
135,124,58,0.47580645161290325,0.31935483870967746,0.2
136,129,59,0.4418604651162791,0.2558139534883721,0.2
137,120,60,0.45,0.26333333333333336,0.2
138,123,58,0.44715447154471544,0.2959349593495935,0.2
139,125,61,0.464,0.25120000000000003,0.2
140,124,57,0.49193548387096775,0.24193548387096778,0.2
141,119,58,0.5294117647058824,0.21344537815126052,0.0
142,117,61,0.47863247863247865,0.23418803418803413,0.2
143,120,59,0.35,0.32000000000000006,0.2
144,119,56,0.44537815126050423,0.2705882352941177,0.2
145,122,58,0.47540983606557374,0.2721311475409836,0.2
146,127,53,0.4015748031496063,0.30866141732283464,0.2
147,119,59,0.453781512605042,0.2638655462184874,0.2
148,125,60,0.416,0.27840000000000004,0.2
149,123,57,0.4796747967479675,0.24390243902439024,0.2
150,120,57,0.4083333333333333,0.2783333333333333,0.2
151,122,62,0.5081967213114754,0.2409836065573771,0.0
152,123,59,0.44715447154471544,0.26991869918699185,0.2
153,122,57,0.5,0.2672131147540983,0.1
154,119,60,0.48739495798319327,0.26050420168067223,0.2
155,116,52,0.47413793103448276,0.2310344827586207,0.2
156,122,59,0.5,0.2540983606557377,0.1
157,124,54,0.4596774193548387,0.3177419354838709,0.2
158,124,60,0.46774193548387094,0.2758064516129032,0.2
159,127,59,0.4409448818897638,0.26141732283464564,0.2
160,117,62,0.4444444444444444,0.2564102564102564,0.2
161,124,51,0.46774193548387094,0.26451612903225813,0.2
162,123,56,0.4796747967479675,0.24878048780487805,0.2
163,123,54,0.5203252032520326,0.2097560975609756,0.0
164,121,63,0.4049586776859504,0.3107438016528926,0.2
165,129,54,0.4573643410852713,0.24651162790697678,0.2
166,121,56,0.39669421487603307,0.3140495867768595,0.2
167,121,58,0.5454545454545454,0.25785123966942153,0.0
168,118,59,0.5084745762711864,0.2118644067796611,0.0
169,123,59,0.44715447154471544,0.2813008130081301,0.2
170,117,56,0.39316239316239315,0.3008547008547009,0.2
171,119,54,0.5126050420168067,0.26554621848739496,0.0
172,119,59,0.47058823529411764,0.25882352941176473,0.2
173,119,54,0.5462184873949579,0.2588235294117648,0.0
174,126,54,0.42857142857142855,0.29523809523809524,0.2
175,127,60,0.49606299212598426,0.2645669291338582,0.2
176,117,55,0.5384615384615384,0.23760683760683762,0.0
177,125,53,0.464,0.2528,0.2
178,119,57,0.48739495798319327,0.27226890756302524,0.2
179,119,54,0.40336134453781514,0.2823529411764707,0.2
180,119,59,0.5378151260504201,0.23025210084033612,0.0
181,118,62,0.423728813559322,0.29322033898305083,0.2
182,125,60,0.44,0.2736,0.2
183,116,57,0.4224137931034483,0.27586206896551724,0.2
184,122,59,0.4098360655737705,0.2819672131147541,0.2
185,112,55,0.5178571428571429,0.24464285714285716,0.0
186,118,60,0.5,0.2779661016949153,0.1
187,120,56,0.4583333333333333,0.2866666666666667,0.2
188,123,60,0.4878048780487805,0.25365853658536586,0.2
189,114,56,0.4824561403508772,0.26491228070175443,0.2
190,114,54,0.39473684210526316,0.30175438596491233,0.2
191,119,60,0.33613445378151263,0.3092436974789916,0.2
192,119,57,0.453781512605042,0.2873949579831933,0.2
193,122,55,0.5163934426229508,0.28688524590163933,0.0
194,120,56,0.575,0.18500000000000003,0.0
195,119,54,0.5042016806722689,0.24201680672268905,0.0
196,118,53,0.6101694915254238,0.21864406779661016,0.0
197,116,54,0.47413793103448276,0.24655172413793108,0.2
198,125,56,0.496,0.2256,0.2
199,125,59,0.48,0.2896,0.2
200,115,57,0.4782608695652174,0.22608695652173913,0.2
201,118,57,0.4322033898305085,0.2898305084745763,0.2
202,123,60,0.43089430894308944,0.3203252032520325,0.2
203,118,57,0.4406779661016949,0.32542372881355935,0.2
204,116,63,0.49137931034482757,0.2379310344827586,0.2
205,118,55,0.4661016949152542,0.28644067796610173,0.2
206,110,55,0.4818181818181818,0.2236363636363636,0.2
207,118,53,0.4406779661016949,0.24915254237288137,0.2
208,116,55,0.4482758620689655,0.3017241379310345,0.2
209,123,58,0.43089430894308944,0.32845528455284556,0.2
210,110,60,0.41818181818181815,0.2745454545454546,0.2
211,123,55,0.43089430894308944,0.25040650406504067,0.2
212,110,54,0.5272727272727272,0.20181818181818184,0.0
213,120,60,0.49166666666666664,0.19499999999999998,0.2
214,114,63,0.4824561403508772,0.2736842105263158,0.2
215,124,58,0.4274193548387097,0.2548387096774194,0.2
216,122,61,0.47540983606557374,0.2278688524590164,0.2
217,118,55,0.4745762711864407,0.2525423728813559,0.2
218,133,55,0.48872180451127817,0.3007518796992481,0.2
219,119,57,0.47058823529411764,0.24705882352941178,0.2
220,122,60,0.4426229508196721,0.2721311475409836,0.2
221,124,59,0.46774193548387094,0.2709677419354839,0.2
222,121,61,0.48760330578512395,0.2611570247933884,0.2
223,130,54,0.49230769230769234,0.2507692307692308,0.2
224,126,57,0.4603174603174603,0.2857142857142857,0.2
225,125,60,0.448,0.2832,0.2
226,124,58,0.4274193548387097,0.28709677419354845,0.2
227,117,61,0.4358974358974359,0.2888888888888889,0.2
228,128,57,0.515625,0.2484375,0.0
229,124,61,0.4112903225806452,0.27580645161290324,0.2
230,122,57,0.4426229508196721,0.31475409836065577,0.2
231,124,57,0.46774193548387094,0.2758064516129032,0.2
232,129,62,0.4883720930232558,0.2837209302325581,0.2
233,117,58,0.46153846153846156,0.25811965811965815,0.2
234,119,59,0.4789915966386555,0.2941176470588235,0.2
235,121,59,0.49586776859504134,0.26611570247933886,0.2
236,115,58,0.4608695652173913,0.2782608695652174,0.2
237,117,57,0.5128205128205128,0.2512820512820513,0.0
238,121,53,0.48760330578512395,0.28760330578512394,0.2
239,125,56,0.48,0.25120000000000003,0.2
240,121,56,0.45454545454545453,0.256198347107438,0.2
241,121,56,0.5041322314049587,0.2165289256198347,0.0
242,121,61,0.4132231404958678,0.3123966942148761,0.2
243,125,57,0.472,0.2928,0.2
244,117,60,0.39316239316239315,0.34188034188034194,0.2
245,112,57,0.49107142857142855,0.26071428571428573,0.2
246,121,56,0.5371900826446281,0.2628099173553719,0.0
247,119,58,0.4369747899159664,0.2991596638655462,0.2
248,121,59,0.49586776859504134,0.2628099173553719,0.2
249,117,60,0.5128205128205128,0.2974358974358975,0.0
250,121,58,0.4628099173553719,0.2793388429752066,0.2
251,116,57,0.5,0.2637931034482759,0.1
252,123,51,0.4634146341463415,0.25853658536585367,0.2
253,122,55,0.4180327868852459,0.31475409836065577,0.2
254,125,58,0.496,0.2608000000000001,0.2
255,123,56,0.5528455284552846,0.2032520325203252,0.0
256,122,54,0.5081967213114754,0.22295081967213118,0.0
257,125,54,0.52,0.21919999999999998,0.0
258,115,57,0.4956521739130435,0.26434782608695656,0.2
259,115,57,0.5652173913043478,0.2208695652173913,0.0
260,114,59,0.4298245614035088,0.29649122807017547,0.2
261,120,58,0.525,0.22333333333333333,0.0
262,119,53,0.5462184873949579,0.23361344537815126,0.0
263,128,59,0.4296875,0.2890625,0.2
264,117,60,0.5128205128205128,0.22564102564102562,0.0
265,117,59,0.47863247863247865,0.27179487179487183,0.2
266,122,58,0.5737704918032787,0.20983606557377046,0.0
267,112,57,0.49107142857142855,0.25892857142857145,0.2
268,126,59,0.4603174603174603,0.2746031746031747,0.2
269,115,53,0.5565217391304348,0.2173913043478261,0.0
270,116,54,0.46551724137931033,0.2482758620689655,0.2
271,117,59,0.48717948717948717,0.27692307692307694,0.2
272,114,60,0.42105263157894735,0.29824561403508776,0.2
