candidate_id,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,1.0,0.0,215,50.0,1,50 trees d=1,0.535211,0.463415,0.071796,0.210211,0.253659,0.043448
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,1.0,0.1,215,50.0,2,50 trees d=1,0.540493,0.504065,0.036428,0.205986,0.239024,0.033038
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,5.0,0.0,215,50.0,3,50 trees d=1,0.53169,0.479675,0.052015,0.212324,0.243902,0.031578
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,5.0,0.1,215,50.0,4,50 trees d=1,0.533451,0.479675,0.053776,0.21338,0.243902,0.030522
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.03,0.8,0.8,10.0,0.0,215,50.0,5,50 trees d=1,0.535211,0.487805,0.047406,0.212676,0.243902,0.031226
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.03,0.8,0.8,10.0,0.1,215,50.0,6,50 trees d=1,0.536972,0.479675,0.057297,0.210915,0.245528,0.034613
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,1.0,0.0,215,50.0,7,50 trees d=1,0.52993,0.471545,0.058385,0.213028,0.253659,0.040631
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,1.0,0.1,215,50.0,8,50 trees d=1,0.52993,0.471545,0.058385,0.213028,0.253659,0.040631
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,5.0,0.0,215,50.0,9,50 trees d=1,0.536972,0.471545,0.065427,0.210563,0.256911,0.046348
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,5.0,0.1,215,50.0,10,50 trees d=1,0.538732,0.471545,0.067187,0.209859,0.256911,0.047052
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.03,0.8,1.0,10.0,0.0,215,50.0,11,50 trees d=1,0.535211,0.479675,0.055536,0.213028,0.253659,0.040631
xgb_n=50_depth=1_lr=0.03_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.03,0.8,1.0,10.0,0.1,215,50.0,12,50 trees d=1,0.535211,0.479675,0.055536,0.213028,0.253659,0.040631
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,1.0,0.0,215,50.0,13,50 trees d=1,0.524648,0.495935,0.028713,0.217958,0.250407,0.032449
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,1.0,0.1,215,50.0,14,50 trees d=1,0.524648,0.495935,0.028713,0.217958,0.250407,0.032449
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,5.0,0.0,215,50.0,15,50 trees d=1,0.517606,0.504065,0.013541,0.222535,0.247154,0.024619
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,5.0,0.1,215,50.0,16,50 trees d=1,0.519366,0.495935,0.023431,0.221479,0.24878,0.027301
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.03,1.0,0.8,10.0,0.0,215,50.0,17,50 trees d=1,0.514085,0.495935,0.01815,0.224296,0.247154,0.022858
xgb_n=50_depth=1_lr=0.03_sub=1.0_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.03,1.0,0.8,10.0,0.1,215,50.0,18,50 trees d=1,0.514085,0.495935,0.01815,0.224296,0.247154,0.022858
