target,model,feature,importance
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_total_persistence,0.024688126519322395
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_betti_mean,0.022813010960817337
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_distance_mean,0.019235072657465935
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_area,0.019147418439388275
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_mean_persistence,0.019050071015954018
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_p90_persistence,0.01788344606757164
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_std_persistence,0.01778346113860607
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_entropy,0.016511820256710052
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p95_persistence,0.0163861270993948
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_p90_persistence,0.016201825812458992
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_std_persistence,0.016185607761144638
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h1_total_persistence,0.016097234562039375
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_p90_persistence,0.01597297564148903
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_max_persistence,0.015170250087976456
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_11,0.014660215936601162
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h0_mean_persistence,0.014544173143804073
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_arithmetic_rate,0.014532449655234814
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_15,0.014289072714745998
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_distance_std,0.014212158508598804
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_19,0.01419898308813572
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_euler_min,0.014085087925195694
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_total_persistence,0.014080516062676907
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_mean_persistence,0.014023191295564175
acc_kimi_vl_a3b,kimi_vl_a3b,context_char_count,0.014021297916769981
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_mean_persistence,0.013991562649607658
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_type_token_ratio,0.013921135105192661
acc_kimi_vl_a3b,kimi_vl_a3b,tda_gray_h1_p90_persistence,0.01387153472751379
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_max_persistence,0.013730849139392376
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_p90_persistence,0.013546152040362358
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h0_max_persistence,0.013521607033908367
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_03,0.013446388766169548
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_06,0.013444485142827034
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_04,0.013403190299868584
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_01,0.013394386507570744
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_caption_tfidf_cosine,0.013386781327426434
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_02,0.013225818052887917
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_mean,0.013224896043539047
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_tda_token_h0_interval_count,0.01315406896173954
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_22,0.01308476459234953
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_cue_comparison_rate,0.013022496365010738
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_h1_mean_persistence,0.013014135882258415
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_08,0.012932293117046356
acc_kimi_vl_a3b,kimi_vl_a3b,nlp_claim_svd_16,0.012826896272599697
acc_kimi_vl_a3b,kimi_vl_a3b,tda_edge_euler_area,0.012802856042981148
